No.,Title,Artist,Year,duration_sec
4,Venus,Frankie Avalon,1959,144.483
5,Lonely Boy,Paul Anka,1959,154.973
6,Dream Lover,Bobby Darin,1959,150.706
7,The Three Bells,The Browns,1959,173.84
8,Come Softly to Me,The Fleetwoods,1959,144.933
9,Kansas City,Wilbert Harrison,1959,150.333
10,Mr. Blue,The Fleetwoods,1959,145.133
11,Sleep Walk,Santo & Johnny,1959,145.333
12,Put Your Head on My Shoulder,Paul Anka,1959,154.733
13,Stagger Lee,Lloyd Price,1959,144.626
14,Donna,Ritchie Valens,1959,149.066
15,Pink Shoe Laces,Dodie Stevens,1959,145.16
16,Smoke Gets in Your Eyes,The Platters,1959,160.933
17,Charlie Brown,The Coasters,1959,141
18,Quiet Village,Martin Denny,1959,180.36
19,My Heart Is an Open Book,Carl Dobkins Jr.,1959,130.093
20,(Till) I Kissed You,The Everly Brothers,1959,146.053
21,Sea of Love,Phil Phillips,1959,141.933
22,The Happy Organ,Dave Cortez,1959,125.2
23,I'm Gonna Get Married,Lloyd Price,1959,140.8
24,Sorry (I Ran All the Way Home),The Impalas,1959,149.666
25,A Teenager in Love,Dion and the Belmonts,1959,158.253
26,16 Candles,The Crests,1959,174.666
27,It's Just a Matter of Time,Brook Benton,1959,148.28
28,Lipstick on Your Collar,Connie Francis,1959,139.613
29,There Goes My Baby,The Drifters,1959,132.613
30,A Big Hunk o' Love,Elvis Presley,1959,133.093
31,Red River Rock,Johnny and the Hurricanes,1959,138.24
32,Waterloo,Stonewall Jackson,1959,146.933
33,Lavender's Blue,Sammy Turner,1959,136.932
34,(Now and Then There's) A Fool Such as I,Elvis Presley,1959,159.36
35,Guitar Boogie Shuffle,The Virtues,1959,156.8
36,Teen Beat,Sandy Nelson,1959,182.533
37,"Kookie, Kookie (Lend Me Your Comb)",Edd Byrnes & Connie Stevens,1959,127.133
38,Tragedy,Thomas Wayne,1959,131.506
39,My Happiness,Connie Francis,1959,147
40,Tallahassee Lassie,Freddy Cannon,1959,132.893
41,Tiger,Fabian,1959,151.093
42,Never Be Anyone Else But You,Ricky Nelson,1959,136.266
43,Don't You Know?,Della Reese,1959,151.706
44,I Need Your Love Tonight,Elvis Presley,1959,124.626
45,What a Diff'rence a Day Makes,Dinah Washington,1959,151.866
46,The All American Boy,Bill Parsons,1959,182.266
47,Primrose Lane,Jerry Wallace,1959,143.435
48,Alvin's Harmonica,The Chipmunks,1959,162.973
49,Lonely Street,Andy Williams,1959,165.506
50,What'd I Say,Ray Charles,1959,307.053
51,Broken Hearted Melody,Sarah Vaughan,1959,146.36
52,Only You (And You Alone),Franck Pourcel,1959,259.545
53,Gotta Travel On,Billy Grammer,1959,150.493
54,Poison Ivy,The Coasters,1959,165.48
55,Turn Me Loose,Fabian,1959,141.184
56,Lonely Teardrops,Jackie Wilson,1959,166.213
57,Hawaiian Wedding Song,Andy Williams,1959,148.933
58,Forty Miles of Bad Road,Duane Eddy,1959,130.6
59,Just Ask Your Heart,Frankie Avalon,1959,142.266
60,Tell Him No,Travis and Bob,1959,148.629
61,Frankie,Connie Francis,1959,150.866
62,I've Had It,The Bell Notes,1959,162.56
63,I Cried a Tear,LaVern Baker,1959,155.853
64,Enchanted,The Platters,1959,172.293
65,Since I Don't Have You,The Skyliners,1959,159.663
66,Peter Gunn Theme,Ray Anthony,1959,111.24
67,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks,1959,141.466
68,I Want to Walk You Home,Fats Domino,1959,140.533
69,So Fine,The Fiestas,1959,143
70,Bobby Sox to Stockings,Frankie Avalon,1959,158.906
71,The Deck of Cards,Wink Martindale,1959,247.786
72,A Lover's Question,Clyde McPhatter,1959,150.266
73,I Only Have Eyes for You,The Flamingos,1959,202.773
74,It's Late,Ricky Nelson,1959,119.666
75,Petite Fleur,Chris Barber's Jazz Band,1959,165.293
76,Tall Paul,Annette Funicello,1959,97.08
77,The Tijuana Jail,The Kingston Trio,1959,170.906
78,Just a Little Too Much,Ricky Nelson,1959,132.2
79,Goodbye Baby,Jack Scott,1959,131.173
80,Along Came Jones,The Coasters,1959,179.293
81,Three Stars,Tommy Dee & Carol Kay,1959,214.434
82,A Boy Without a Girl,Frankie Avalon,1959,120.413
83,Sweeter Than You,Ricky Nelson,1959,132.04
84,It Was I,Skip & Flip,1959,142.419
85,"Goodbye Jimmy, Goodbye",Kathy Linden,1959,156.711
86,Manhattan Spiritual,Reg Owen Orchestra,1959,153.994
87,Endlessly,Brook Benton,1959,142.393
88,Heartaches by the Number,Guy Mitchell,1959,154.295
89,Sea Cruise,Frankie Ford,1959,167.093
90,That's Why (I Love You So),Jackie Wilson,1959,126.226
91,You're So Fine,The Falcons,1959,144.352
92,Kissin' Time,Bobby Rydell,1959,132.373
93,My Wish Came True,Elvis Presley,1959,154.64
94,Morgen,Ivo RobiÄ‡,1959,155.8
95,Baby Talk,Jan and Dean,1959,145.8
96,Take a Message to Mary,The Everly Brothers,1959,148.306
97,The Battle Hymn of the Republic,Mormon Tabernacle Choir,1959,284.306
98,Bongo Rock,Preston Epps,1959,126.613
99,In the Mood,Ernie Fields,1959,158.88
100,Seven Little Girls Sitting in the Back Seat,Paul Evans,1959,138.026
1,Theme from A Summer Place,Percy Faith,1960,142.693
2,He'll Have to Go,Jim Reeves,1960,138.64
3,Cathy's Clown,The Everly Brothers,1960,144.013
4,Running Bear,Johnny Preston,1960,157.96
5,Teen Angel,Mark Dinning,1960,161.826
6,I'm Sorry,Brenda Lee,1960,161.546
7,It's Now or Never,Elvis Presley,1960,194.6
8,Handy Man,Jimmy Jones,1960,124.12
9,Stuck on You,Elvis Presley,1960,138.826
10,The Twist,Chubby Checker,1960,155.04
11,Everybody's Somebody's Fool,Connie Francis,1960,157.6
12,Wild One,Bobby Rydell,1960,143.346
13,Greenfields,The Brothers Four,1960,182.026
14,What in the World's Come Over You,Jack Scott,1960,166.812
15,El Paso,Marty Robbins,1960,259.306
16,Alley Oop,The Hollywood Argyles,1960,161.44
17,My Heart Has a Mind of Its Own,Connie Francis,1960,150.76
18,Sweet Nothin's,Brenda Lee,1960,144.6
19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,143.733
20,Only the Lonely,Roy Orbison,1960,145.533
21,Where or When,Dion and the Belmonts,1960,160.386
22,Sixteen Reasons,Connie Stevens,1960,118.133
23,Puppy Love,Paul Anka,1960,163.466
24,Why,Frankie Avalon,1960,157.92
25,"Walk, Don't Run",The Ventures,1960,122.933
26,Save the Last Dance for Me,The Drifters,1960,154.96
27,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,1960,168
28,Sink the Bismarck,Johnny Horton,1960,194.64
29,Chain Gang,Sam Cooke,1960,160
30,Let It Be Me,The Everly Brothers,1960,158.56
31,Good Timin',Jimmy Jones,1960,128.479
32,Beyond the Sea,Bobby Darin,1960,172.48
33,"Go, Jimmy, Go",Jimmy Clanton,1960,129.146
34,Night,Jackie Wilson,1960,169.653
35,Burning Bridges,Jack Scott,1960,161.506
36,The Big Hurt,Toni Fisher,1960,129.093
37,Because They're Young,Duane Eddy,1960,121.24
38,Lonely Blue Boy,Conway Twitty,1960,135.066
39,Pretty Blue Eyes,Steve Lawrence,1960,114.466
40,Way Down Yonder in New Orleans,Freddy Cannon,1960,150
41,Paper Roses,Anita Bryant,1960,171.301
42,Mr. Custer,Larry Verne,1960,184.866
43,I Want to Be Wanted,Brenda Lee,1960,185.96
44,Mule Skinner Blues,The Fendermen,1960,146.16
45,Cradle of Love,Johnny Preston,1960,140.173
46,You Got What It Takes,Marv Johnson,1960,171.6
47,"Please Help Me, I'm Falling",Hank Locklin,1960,141.466
48,Love You So,Ron Holden,1960,203.749
49,Finger Poppin' Time,Hank Ballard & The Midnighters,1960,154.746
50,Harbor Lights,The Platters,1960,194.866
51,Let the Little Girl Dance,Billy Bland,1960,143.04
52,He'll Have to Stay,Jeanne Black,1960,164.44
53,Theme from The Apartment,Ferrante & Teicher,1960,183.16
54,Volare,Bobby Rydell,1960,146.066
55,A Million to One,Jimmy Charles,1960,149.733
56,The Village of St. Bernadette,Andy Williams,1960,201.866
57,White Silver Sands,Bill Black's Combo,1960,154.426
58,The Old Lamp-Lighter,The Browns,1960,189.16
59,Devil or Angel,Bobby Vee,1960,141.2
60,Down by the Station,The Four Preps,1960,172.066
61,Forever,The Little Dippers,1960,138.92
62,Image of a Girl,The Safaris & The Phantom's Band,1960,173.344
63,Kiddio,Brook Benton,1960,154.533
64,Mission Bell,Donnie Brooks,1960,143.96
65,I Love the Way You Love,Marv Johnson,1960,159.893
66,It's Time to Cry,Paul Anka,1960,146.666
67,Tell Laura I Love Her,Ray Peterson,1960,177.546
68,Mama,Connie Francis,1960,237.866
69,Footsteps,Steve Lawrence,1960,134.626
70,So Sad,The Everly Brothers,1960,154.4
71,That's All You Gotta Do,Brenda Lee,1960,148.973
72,Walking to New Orleans,Fats Domino,1960,118.466
73,Among My Souvenirs,Connie Francis,1960,151.693
74,Swingin' School,Bobby Rydell,1960,134
75,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington & Brook Benton,1960,148.826
76,Stairway to Heaven,Neil Sedaka,1960,162.64
77,My Home Town,Paul Anka,1960,126.293
78,Georgia on My Mind,Ray Charles,1960,219.56
79,Cherry Pie,Skip and Flip,1960,140.382
80,Wonderful World,Sam Cooke,1960,129.293
81,Tracy's Theme,Spencer Ross,1960,153.351
82,Lady Luck,Lloyd Price,1960,131.466
83,Step by Step,The Crests,1960,151.826
84,Happy-Go-Lucky Me,Paul Evans,1960,117.253
85,Young Emotions,Ricky Nelson,1960,155.04
86,Dreamin',Johnny Burnette,1960,141.493
87,Poetry in Motion,Johnny Tillotson,1960,154.466
88,O Dio Mio,Annette Funicello,1960,171.426
89,You Talk Too Much,Joe Jones,1960,152.88
90,Beatnik Fly,Johnny and the Hurricanes,1960,129.666
91,When Will I Be Loved,The Everly Brothers,1960,125.973
92,Let's Think About Living,Bob Luman,1960,128.8
93,Heartaches by the Number,Guy Mitchell,1960,154.295
94,My Little Corner of the World,Anita Bryant,1960,159.59
95,Doggin' Around,Jackie Wilson,1960,171.84
96,Little Bitty Girl,Bobby Rydell,1960,146.653
97,Money (That's What I Want),Barrett Strong,1960,157.88
98,Stay,Maurice Williams and the Zodiacs,1960,97.626
99,Lonely Weekends,Charlie Rich,1960,127.613
100,Sandy,Larry Hall,1960,149.16
1,Tossin' and Turnin',Bobby Lewis,1961,159.64
2,I Fall to Pieces,Patsy Cline,1961,171.333
3,Michael,The Highwaymen,1961,166.16
4,Crying,Roy Orbison,1961,166.466
5,Runaway,Del Shannon,1961,137.306
6,My True Story,The Jive Five,1961,154.466
7,Pony Time,Chubby Checker,1961,148.733
8,Wheels,The String-A-Longs,1961,114.063
9,Raindrops,Dee Clark,1961,179.665
10,Wooden Heart,Joe Dowell,1961,118.426
11,Calcutta,Lawrence Welk,1961,135.533
12,Take Good Care of My Baby,Bobby Vee,1961,149.8
13,Running Scared,Roy Orbison,1961,132.04
14,Dedicated to the One I Love,The Shirelles,1961,124.186
15,Last Night,The Mar-Keys,1961,159.173
16,Will You Love Me Tomorrow,The Shirelles,1961,160.32
17,Exodus,Ferrante & Teicher,1961,179
18,Where the Boys Are,Connie Francis,1961,156.906
19,Hit the Road Jack,Ray Charles,1961,119.88
20,Sad Movies (Make Me Cry),Sue Thompson,1961,199.346
21,Mother-in-Law,Ernie K-Doe,1961,151.16
22,Bristol Stomp,The Dovells,1961,138.893
23,Travelin' Man,Ricky Nelson,1961,143.2
24,Shop Around,The Miracles,1961,170.76
25,The Boll Weevil Song,Brook Benton,1961,160
26,A Hundred Pounds of Clay,Gene McDaniels,1961,142.026
27,The Mountain's High,Dick and Dee Dee,1961,135.706
28,Don't Worry,Marty Robbins,1961,194.16
29,On the Rebound,Floyd Cramer,1961,126.106
30,Portrait of My Love,Steve Lawrence,1961,175.613
31,Quarter to Three,Gary U.S. Bonds,1961,150.4
32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,1961,167.213
33,Calendar Girl,Neil Sedaka,1961,159.693
34,I Like It Like That,Chris Kenner,1961,120.2
35,Apache,Jí¸rgen Ingmann,1961,210.8
36,Don't Bet Money Honey,Linda Scott,1961,153.155
37,Without You,Johnny Tillotson,1961,128.8
38,Wings of a Dove,Ferlin Husky,1961,139.64
39,Little Sister,Elvis Presley,1961,151.386
40,Blue Moon,The Marcels,1961,135.2
41,Daddy's Home,Shep and the Limelites,1961,174.253
42,This Time,Troy Shondell,1961,157.96
43,(I Don't Know Why) But I Do,"Clarence ""Frogman"" Henry",1961,141.2
44,Asia Minor,Kokomo,1961,122.653
45,Hello Walls,Faron Young,1961,146.84
46,Runaround Sue,Dion,1961,171.6
47,Yellow Bird,Arthur Lyman,1961,164.92
48,Hurt,Timi Yuro,1961,148.466
49,Hello Mary Lou,Ricky Nelson,1961,138.84
50,There's a Moon Out Tonight,The Capris,1961,133.88
51,Surrender,Elvis Presley,1961,112.226
52,I Love How You Love Me,The Paris Sisters,1961,123.893
53,Ya Ya,Lee Dorsey,1961,146.053
54,School Is Out,Gary U.S. Bonds,1961,149.56
55,Mexico,Bob Moore,1961,156.44
56,You Don't Know What You've Got (Until You Lose It),Ral Donner,1961,135.732
57,Walk Right Back,The Everly Brothers,1961,139.64
58,The Way You Look Tonight,The Lettermen,1961,141.506
59,Moody River,Pat Boone,1961,157.266
60,One Mint Julep,Ray Charles,1961,186.04
61,Take Good Care of Her,Adam Wade,1961,150.466
62,Gee Whiz (Look at His Eyes),Carla Thomas,1961,141.84
63,Stand by Me,Ben E. King,1961,180.055
64,Spanish Harlem,Ben E. King,1961,174.293
65,It's Gonna Work Out Fine,Ike and Tina Turner,1961,183.346
66,Baby Blue,The Echoes,1961,156.813
67,Baby Sittin' Boogie,Buzz Clifford,1961,127.4
68,Hats Off to Larry,Del Shannon,1961,122.2
69,Those Oldies but Goodies,Little Caesar & the Romans,1961,199.132
70,The Fly,Chubby Checker,1961,148.893
71,(Marie's the Name) His Latest Flame,Elvis Presley,1961,127.093
72,Wonderland by Night,Bert Kaempfert,1961,195.226
73,Bless You,Tony Orlando,1961,132.2
74,I've Told Every Little Star,Linda Scott,1961,129.778
75,One Track Mind,Bobby Lewis,1961,125.021
76,Angel Baby,Rosie and the Originals,1961,227.624
77,Pretty Little Angel Eyes,Curtis Lee,1961,165.213
78,Think Twice,Brook Benton,1961,169.32
79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Lonnie Donegan,1961,151.693
80,Breakin' in a Brand New Broken Heart,Connie Francis,1961,158.813
81,Mama Said,The Shirelles,1961,128.8
82,Let the Four Winds Blow,Fats Domino,1961,139.133
83,The Writing on the Wall,Adam Wade,1961,150.24
84,My Kind of Girl,Matt Monro,1961,177.6
85,"Tonight My Love, Tonight",Paul Anka,1961,126.506
86,San Antonio Rose,Floyd Cramer,1961,139.586
87,Big Bad John,Jimmy Dean,1961,182.56
88,Good Time Baby,Bobby Rydell,1961,129.466
89,Rubber Ball,Bobby Vee,1961,144.106
90,Missing You,Ray Peterson,1961,164.146
91,Dum Dum,Brenda Lee,1961,146.173
92,I'm Gonna Knock on Your Door,Eddie Hodges,1961,126.266
93,You Can Depend on Me,Brenda Lee,1961,214.52
94,Let's Twist Again,Chubby Checker,1961,137.36
95,Take Five,The Dave Brubeck Quartet,1961,324.133
96,Are You Lonesome Tonight?,Elvis Presley,1961,186.666
97,Sea of Heartbreak,Don Gibson,1961,155.04
98,More Money for You and Me,The Four Preps,1961,388.466
99,You Must Have Been a Beautiful Baby,Bobby Darin,1961,131.72
100,Please Stay,The Drifters,1961,137.8
1,Stranger on the Shore,Acker Bilk,1962,198.333
2,I Can't Stop Loving You,Ray Charles,1962,255.04
3,Mashed Potato Time,Dee Dee Sharp,1962,150.866
4,Roses Are Red (My Love),Bobby Vinton,1962,158.693
5,The Stripper,David Rose,1962,116.733
6,Johnny Angel,Shelley Fabares,1962,131.422
7,The Loco-Motion,Little Eva,1962,139.12
8,Let Me In,The Sensations,1962,186.066
9,The Twist,Chubby Checker,1962,155.04
10,Soldier Boy,The Shirelles,1962,162.026
11,Hey! Baby,Bruce Channel,1962,140.573
12,The Wanderer,Dion,1962,168.64
13,Duke of Earl,Gene Chandler,1962,147.841
14,Palisades Park,Freddy Cannon,1962,114.155
15,Breaking Up Is Hard to Do,Neil Sedaka,1962,138.96
16,Wolverton Mountain,Claude King,1962,179.973
17,Slow Twistin',Chubby Checker & Dee Dee Sharp,1962,152.586
18,It Keeps Right On a-Hurtin',Johnny Tillotson,1962,169.573
19,The One Who Really Loves You,Mary Wells,1962,147.466
20,Good Luck Charm,Elvis Presley,1962,145.4
21,Midnight in Moscow,Kenny Ball,1962,179.954
22,Sheila,Tommy Roe,1962,127.066
23,Twistin' the Night Away,Sam Cooke,1962,159.853
24,The Wah-Watusi,The Orlons,1962,150.24
25,Peppermint Twist,Joey Dee and the Starliters,1962,122.253
26,Break It to Me Gently,Brenda Lee,1962,164
27,Playboy,The Marvelettes,1962,164.84
28,Ramblin' Rose,Nat King Cole,1962,167.853
29,Sealed with a Kiss,Brian Hyland,1962,162.16
30,She Cried,Jay and the Americans,1962,159.933
31,Don't Break the Heart That Loves You,Connie Francis,1962,186.16
32,Dear Lady Twist,Gary U.S. Bonds,1962,152.533
33,Norman,Sue Thompson,1962,141.026
34,Love Letters,Ketty Lester,1962,156.733
35,Party Lights,Claudine Clark,1962,143.133
36,Cotton Fields,The Highwaymen,1962,133.607
37,Alley Cat,Bent Fabric,1962,152.202
38,Twist and Shout,The Isley Brothers,1962,155.4
39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,1962,162.96
40,Tuff,Ace Cannon,1962,136.666
41,Lover Please,Clyde McPhatter,1962,116.24
42,I Know (You Don't Love Me No More),Barbara George,1962,145.866
43,Young World,Ricky Nelson,1962,147.466
44,Baby It's You,The Shirelles,1962,161
45,Speedy Gonzales,Pat Boone,1962,153.093
46,A Little Bitty Tear,Burl Ives,1962,125.4
47,Crying in the Rain,The Everly Brothers,1962,120.306
48,Al di lí ,Emilio Pericoli,1962,194.906
49,Shout! Shout! (Knock Yourself Out),Ernie Maresca,1962,130.093
50,What's Your Name,Don and Juan,1962,135.426
51,Smoky Places,The Corsairs,1962,187.227
52,Having a Party,Sam Cooke,1962,157.296
53,Green Onions,Booker T. & the M.G.'s,1962,176.333
54,You Don't Know Me,Ray Charles,1962,196.426
55,Sherry,The Four Seasons,1962,152.16
56,Johnny Get Angry,Joanie Sommers,1962,156.56
57,Can't Help Falling in Love,Elvis Presley,1962,182.36
58,Shout,Joey Dee and the Starliters,1962,156.4
59,Rinky Dink,"Dave ""Baby"" Cortez",1962,172.76
60,Moon River,Henry Mancini,1962,160.693
61,Ahab the Arab,Ray Stevens,1962,262.333
62,Things,Bobby Darin,1962,151.413
63,(The Man Who Shot) Liberty Valance,Gene Pitney,1962,178.44
64,You Belong to Me,The Duprees,1962,168.621
65,Dream Baby (How Long Must I Dream),Roy Orbison,1962,153.8
66,Snap Your Fingers,Joe Henderson,1962,181.744
67,Lovers Who Wander,Dion,1962,151.466
68,Let's Dance,Chris Montez,1962,149.626
69,Cindy's Birthday,Johnny Crawford,1962,128.453
70,You Beat Me to the Punch,Mary Wells,1962,165.333
71,You'll Lose a Good Thing,Barbara Lynn,1962,159.866
72,Uptown,The Crystals,1962,149.746
73,Everybody Loves Me But You,Brenda Lee,1962,150.36
74,Patches,Dickey Lee,1962,189.24
75,Venus in Blue Jeans,Jimmy Clanton,1962,143.826
76,Love Me Warm and Tender,Paul Anka,1962,139.333
77,Teen Age Idol,Rick Nelson,1962,152.266
78,She's Got You,Patsy Cline,1962,178.546
79,Dear One,Larry Finnegan,1962,183.493
80,Her Royal Majesty,James Darren,1962,132.666
81,Old Rivers,Walter Brennan,1962,166.12
82,Funny Way of Laughin',Burl Ives,1962,161.533
83,A Swingin' Safari,Billy Vaughn,1962,135.666
84,Tell Me,Dick and Dee Dee,1962,135.906
85,PT-109,Jimmy Dean,1962,192.426
86,Little Diane,Dion,1962,165.6
87,Percolator (Twist),Billy Joe and the Checkmates,1962,275.653
88,"Twist, Twist Senora",Gary U.S. Bonds,1962,157.893
89,Twistin' Matilda,Jimmy Soul,1962,177.293
90,Gravy (For My Mashed Potatoes),Dee Dee Sharp,1962,128.093
91,Walk on the Wild Side,Jimmy Smith,1962,355.226
92,Soul Twist,King Curtis,1962,167.426
93,I'll Never Dance Again,Bobby Rydell,1962,149.36
94,I'm Blue (The Gong-Gong Song),The Ikettes,1962,153.373
95,Where Have All the Flowers Gone?,The Kingston Trio,1962,184.293
96,"(Girls, Girls, Girls) Made to Love",Eddie Hodges,1962,150.666
97,Town Without Pity,Gene Pitney,1962,174
98,If I Had a Hammer,"Peter, Paul and Mary",1962,121.053
99,I Wish That We Were Married,Ronnie & the Hi-Lites,1962,172.066
100,Surfin' Safari,The Beach Boys,1962,128.093
1,Surfin' U.S.A.,The Beach Boys,1963,150.16
2,The End of the World,Skeeter Davis,1963,157.573
3,Rhythm of the Rain,The Cascades,1963,146.36
4,He's So Fine,The Chiffons,1963,115.64
5,Blue Velvet,Bobby Vinton,1963,168.093
6,Hey Paula,Paul & Paula,1963,146.944
7,Fingertips,Little Stevie Wonder,1963,190.213
8,Can't Get Used to Losing You,Andy Williams,1963,141.786
9,My Boyfriend's Back,The Angels,1963,136.8
10,Sukiyaki,Kyu Sakamoto,1963,189.52
11,So Much in Love,The Tymes,1963,140.466
12,"Puff, the Magic Dragon","Peter, Paul & Mary",1963,206.866
13,Blowin' in the Wind,"Peter, Paul & Mary",1963,177.36
14,Wipe Out,The Surfaris,1963,160.306
15,I Love You Because,Al Martino,1963,163.4
16,Wild Weekend,The Rebels,1963,138.626
17,You're the Reason I'm Living,Bobby Darin,1963,148.933
18,Walk Like a Man,The Four Seasons,1963,137.933
19,Mockingbird,Inez & Charlie Foxx,1963,158.04
20,I Will Follow Him,Little Peggy March,1963,147.4
21,Pipeline,The Chantays,1963,139.253
22,Surf City,Jan & Dean,1963,147.266
23,It's My Party,Lesley Gore,1963,140
24,Blame It on the Bossa Nova,Eydie Gormé,1963,150.333
25,You Can't Sit Down,The Dovells,1963,139.186
26,Heat Wave,Martha and the Vandellas,1963,163.053
27,Denise,Randy & the Rainbows,1963,118.413
28,Walk Right In,The Rooftop Singers,1963,157.266
29,If You Wanna Be Happy,Jimmy Soul,1963,143
30,If I Had a Hammer,Trini Lopez,1963,177.093
31,Easier Said Than Done,The Essex,1963,126.04
32,Ruby Baby,Dion,1963,156.48
33,Our Day Will Come,Ruby & the Romantics,1963,154.706
34,Hello Stranger,Barbara Lewis,1963,166.96
35,Be My Baby,The Ronettes,1963,160.906
36,South Street,The Orlons,1963,150.24
37,Days of Wine and Roses,Henry Mancini,1963,156.546
38,The Monkey Time,Major Lance,1963,166.466
39,Candy Girl,The Four Seasons,1963,157.8
